An Anatomical Exercise on the Motion of the Heart and Blood in Living Beings,William Harvey,1628,
Encyclop̩die,Denis Diderot,1751,
Areopagitica,John Milton,1644,
Crito,Plato,-399,
Euthyphro,Plato,-399,
The Proper Study of Mankind,Isaiah Berlin,1997,
The Principia Mathematica,Alfred North Whitehead and Bertrand Russell,1913,
A People's History of the United States,Howard Zinn,1980,
The 18th Brumaire of Louis Bonaparte,Karl Marx,1852,
Letters from an American Farmer,J. Crevecoeur,1782,
Essays and Aphorisms,Arthur Schopenhauer,1860,
The Kon-Tiki Expedition: By Raft Across the South Seas,Thor Heyerdahl,1948,
My Childhood,Maxim Gorky,1913,
Germania,Cornelius Tacitus,98,
"Human, All Too Human",Friedrich Nietzsche,1878,
I Will Bear Witness,Victor Klemperer,1998,
The Son of a Servant,August Strindberg,1886,
Homo Ludens: A Study of the Play-Element in Culture,Johan Huizinga,1938,
Parerga and Paralipomena,Arthur Schopenhauer,1851,
The Twilight of the Idols and The Antichrist,Friedrich Nietzsche,1889,
My Life,Leon Trotsky,1929,
The Mirror and the Lamp,Meyer Howard Abrams,1953,
The Art of the Soluble: Creativity and Originality in Science,Peter B. Medawar,1967,
Three Cups of Tea,"Greg Mortenson, David Oliver Relin",2006,
A Theory of Justice,John Rawls,1971,
Art and Illusion,Ernest H. Gombrich,1960,
A Man in Love: My Struggle,Karl Ove Knausgaard,2013,
Principia Ethica,George Moore,1903,
Kaffir Boy,Mark Mathabane,1986,
Philosophy and Civilization,John Dewey,1931,
On Growth and Form,D'Arcy Wentworth Thompson,1917,
Ideas and Opinions,Albert Einstein,1954,
Tell Me How It Ends: An Essay in 40 Questions,Valeria Luiselli,2017,
Men We Reaped,Jesmyn Ward,2013,
The Light of the World,Elizabeth Alexander,2015,
The Best We Could Do: An Illustrated Memoir,Thi Bui,2017,
Priestdaddy: A Memoir,Patricia Lockwood,2017,
Albert Murray: Collected Essays & Memoirs,Albert Murray,2016,
The Afterlife: A Memoir,Donald Antrim,2006,
The Gentrification of the Mind,Sarah Schulman,2012,
The Private Life of Chairman Mao,Li Zhi-Sui,1994,
Staying Power: The History of Black People in Britain,Peter Fryer,1984,
Science and Civilisation in China,Joseph Needham,1954,
The Autobiography of Mark Twain,Mark Twain,1959,
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,2000,
Working,Studs Terkel,1974,
Darkness Visible,William Styron,1989,
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brene Brown,2012,
Schott's Original Miscellany,Ben Schott,2002,
The Anglo-Saxon Chronicle,Unknown,875,
Venice,Jan Morris,1960,
A History of the English-Speaking Peoples,Winston Churchill,1956,
Moneyball,Michael M. Lewis,2003,
The Origins of the Second World War,A. J. P. Taylor,1961,
L'Encyclop̩die,Diderot,1751,
Diaries,Alan Clark,1983,
The Beauty Myth,Naomi Wolf,1991,
Lives of the Artists,Giorgio Vasari,1908,
Kitchen Confidential,Anthony Bourdain,2000,
A History of the World in 100 Objects,Neil MacGregor,2010,
A Child Called 'It',Dave Pelzer,1995,
A People's Tragedy,Orlando Figes,1996,
A History of the Crusades,Stephen Runciman,1951,
A Year in Provence,Peter Mayle,1989,
Born to Run,Chris McDougall,2009,
Memoirs of a Fox-Hunting Man,Siegfried Sassoon,1928,
The Hare with Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,2010,
Red Scarf Girl,Ji-li Jiang,1998,
In the American Grain,William Carlos Williams,1925,
Cadillac Desert,Marc Reisner,1986,
I Have Lived a Thousand Years,Livia Bitton-Jackson,1997,
The Sweet Science,A. J. Liebling,1956,
Religion And The Rise Of Capitalism,R. H. Tawney,1922,
The Hero with a Thousand Faces,Joseph Campbell,1949,
A Preface to Morals,Walter Lippmann,1929,
The Gate of Heavenly Peace,Jonathan D. Spence,1982,
The Strange Career of Jim Crow,C. Vann Woodward,1955,
All But My Life,Gerda Weissmann Klein,1957,
My Forbidden Face,Latifa,2001,
The Rise of the West,William H. McNeill,1991,
The Gnostic Gospels,Elaine Pagels,1979,
Florence Nightingale,Cecil Woodham-Smith,1983,
Falling Leaves,Adeline Yen Mah,1997,
In My Hands,Irene Opdyke,1999,
Studies in Iconology,Erwin Panofsky,1939,
The Strange Death of Liberal England,George Dangerfield,1935,
Vermeer,Lawrence Gowing,1952,
Funny in Farsi,Firoozeh Dumas,2003,
Enrique's Journey,Sonia Nazario,2006,
American Shaolin,Matthew Polly,2006,
Consider The Lobster,David Foster Wallace,2005,
The American Political Tradition,Richard Hofstadter,1948,
Contours of American History,William Appleman Williams,1961,
The Promise of American Life,Herbert Croly,1909,
The Taming of Chance,Ian Hacking,1990,
Chinese Cinderella,Adeline Yen Mah,1999,
Operating Instructions,Anne Lamott,1994,
Melbourne,David Cecil,1954,
A Sand County Almanac,Aldo Leopold,1949,
Madame Curie - A Biography by Eve Curie,Eve Curie,2001,
The Frugal Superpower: America's Global Leadership in a Cash-Strapped Era,Michael Mandelbaum,2010,
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,1985,
"The Road Less Travelled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,1978,
Entropy,"Jeremy Rifkin, Ted Howard",1980,
Eating Animals,Jonathan Safran Foer,2009,
Free to Choose: A Personal Statement,"Milton Friedman, Rose Friedman",1980,
Small Is Beautiful: Economics as if People Mattered,E. F. Schumacher,1973,
How Democracies Perish,Jean Francois Revel,1983,
Farm Hands: Hard Work and Hard Lessons from Western New York Fields,Tom Rivers,2010,
